,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2014-10-21,1327.21,300.03,330.59,387.53,243.98,557.35,279.55,337.44,34.0747184753418,54.230674743652344,204.14012145996094,89.58464050292969,95.55439758300781,14990.0,4480.0,5624.0,9.539999961853027,22.97132110595703,17.973690032958984,70.78596496582031,8.44573974609375,6.374229431152344
2014-10-22,1330.2,299.71,330.49,387.56,243.99,557.21,279.73,337.11,33.91606140136719,53.95760726928711,195.17059326171875,89.12224578857422,95.55439758300781,14950.0,4406.0,5576.0,9.539999961853027,22.882570266723633,17.907716751098633,70.73149871826172,8.434505462646484,6.372309684753418
2014-10-23,1327.34,299.52,330.19,387.38,243.95,556.76,279.76,336.55,34.295074462890625,54.87923049926758,201.27394104003906,90.46319580078125,95.55439758300781,15140.0,4359.0,5580.0,9.489999771118164,22.99350357055664,18.17893409729004,70.79373168945312,8.406426429748535,6.425132751464844
2014-10-24,,,,,,,,,34.59475326538086,55.64725875854492,198.77862548828125,91.2030258178711,95.55439758300781,,,,9.489999771118164,22.956531524658203,18.17893409729004,71.2992935180664,8.44573974609375,6.516374111175537
2014-10-26,1328.36,300.14,331.05,388.24,243.84,559.27,279.89,337.42,,,,,,15220.0,4302.0,5568.0,,,,,,
2014-10-27,1323.28,300.03,330.75,387.44,243.7,557.04,279.79,337.3,34.63001251220703,55.70698547363281,191.42770385742188,91.26773071289062,95.55439758300781,15130.0,4303.0,5536.0,9.489999771118164,22.94173812866211,18.244897842407227,71.56373596191406,8.434505462646484,6.516374111175537
2014-10-28,1324.81,299.78,330.5,387.12,243.64,556.07,279.85,336.91,35.10597229003906,56.116607666015625,200.32972717285156,92.64571380615234,95.55439758300781,15090.0,4343.0,5513.0,9.489999771118164,23.777462005615234,18.413501739501953,72.02264404296875,8.473814010620117,6.578799247741699
2014-10-29,1319.06,299.63,330.42,386.75,243.64,554.92,279.81,336.37,35.07069778442383,56.14218521118164,202.5552978515625,92.30351257324219,95.54574584960938,15010.0,4281.0,5460.0,9.489999771118164,23.370691299438477,18.32553482055664,72.1237564086914,8.490662574768066,6.573994159698486
2014-10-30,1302.32,299.52,330.51,386.63,243.74,554.56,279.83,336.12,35.185279846191406,57.17475128173828,199.52047729492188,92.49772644042969,95.53710174560547,15030.0,4182.0,5313.0,9.489999771118164,23.969749450683594,18.27422332763672,72.62931060791016,8.490662574768066,6.5691986083984375
2014-10-31,,,,,,,,,35.73175811767578,57.40516662597656,205.25286865234375,93.77394104003906,95.54574584960938,,,,9.5600004196167,24.627973556518555,18.794668197631836,72.90153503417969,8.490662574768066,6.650832176208496
2014-11-02,1308.08,299.96,330.74,386.53,243.92,554.31,279.82,336.74,,,,,,15420.0,4200.0,5336.0,,,,,,
2014-11-03,1297.02,300.36,330.62,386.39,243.9,553.94,279.87,337.53,35.88157653808594,57.47343444824219,200.9029998779297,94.05136108398438,95.53710174560547,15450.0,4191.0,5364.0,9.5600004196167,24.92380714416504,18.75802230834961,72.80821228027344,8.510428428649902,6.679642677307129
2014-11-04,1299.43,300.51,330.81,386.69,243.89,555.06,279.82,338.01,35.872779846191406,57.481971740722656,192.6079559326172,93.73697662353516,95.54574584960938,15690.0,4221.0,5353.0,9.5600004196167,24.8128719329834,19.058561325073242,73.47708892822266,8.516069412231445,6.602811336517334
2014-11-05,1294.84,300.44,330.44,386.51,243.75,554.49,279.86,337.92,35.96973419189453,57.422237396240234,198.00308227539062,93.7461929321289,95.54574584960938,16890.0,4183.0,5448.0,9.5600004196167,24.798080444335938,18.823993682861328,73.60932159423828,8.516069412231445,6.626820087432861
2014-11-06,1298.71,300.47,330.45,386.74,243.67,555.11,279.89,338.18,35.95210266113281,57.7720947265625,199.7902374267578,94.04212951660156,95.53710174560547,17000.0,4205.0,5466.0,9.5600004196167,25.012557983398438,18.831323623657227,73.62487030029297,8.52171802520752,6.612411022186279
2014-11-07,,,,,,,,,35.99615478515625,57.20035934448242,208.08531188964844,93.9588851928711,95.53710174560547,,,,9.5600004196167,24.938602447509766,19.31511688232422,73.96711730957031,8.504782676696777,6.593204021453857
2014-11-09,1296.21,300.89,330.92,387.29,243.6,556.84,279.91,338.8,,,,,,17140.0,4235.0,5438.0,,,,,,
2014-11-10,1287.72,300.11,330.44,387.3,243.59,556.71,279.95,337.21,36.093109130859375,57.780635833740234,202.21810913085938,94.2918472290039,95.54574584960938,17160.0,4260.0,5420.0,9.5600004196167,24.250789642333984,19.080551147460938,73.97488403320312,8.504782676696777,6.593204021453857
