,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-08-10,336.89,377.3,244.78,,,427.37,529.31,,,,,1881.84,851.04,296.11,319.85,315.67,1324.25,,278.82
2014-08-11,336.61,377.34,244.77,34.16403579711914,95.95036315917969,427.43,529.27,88.21114349365234,104.24281311035156,86.13558197021484,125.95999908447266,1887.7,856.92,296.01,319.86,315.45,1328.26,43.53070068359375,278.79
2014-08-12,336.26,377.4,244.71,34.146480560302734,95.94168853759766,427.52,529.37,88.1741943359375,104.20852661132812,86.09217834472656,125.98999786376953,1894.59,856.52,295.95,319.92,315.26,1329.69,43.211700439453125,278.75
2014-08-13,336.19,377.43,244.77,34.48054122924805,95.94168853759766,427.58,529.41,89.10750579833984,104.40535736083984,86.26576232910156,126.19999694824219,1893.26,856.24,295.88,319.91,315.25,1324.43,43.38209915161133,278.69
2014-08-14,336.81,378.12,244.72,34.542083740234375,95.94168853759766,428.51,531.47,89.56954956054688,104.46527862548828,86.35984802246094,126.30999755859375,1874.8,855.97,296.12,319.96,315.48,1320.29,42.18000030517578,278.64
2014-08-15,,,,34.542083740234375,95.95036315917969,,,90.00384521484375,104.57646942138672,86.66358184814453,125.4800033569336,,,,,,,42.470001220703125,
2014-08-17,337.62,378.61,244.92,,,429.14,532.98,,,,,1868.74,859.56,296.47,320.02,316.1,1321.99,,278.7
2014-08-18,337.57,378.35,244.93,34.867366790771484,95.95036315917969,428.79,532.2,90.69685363769531,104.46527862548828,86.46826934814453,124.95999908447266,1841.65,860.05,296.53,320.1,316.59,1304.62,41.998600006103516,278.73
2014-08-19,337.87,378.63,244.94,35.087162017822266,95.95036315917969,429.13,532.99,91.20513153076172,104.44815826416016,86.41046142578125,124.68000030517578,1834.33,866.73,296.67,320.1,316.72,1295.02,41.730098724365234,278.82
2014-08-20,338.0,378.7,244.94,35.087162017822266,95.95036315917969,429.22,533.19,91.20513153076172,104.1999282836914,86.21514892578125,124.22000122070312,1815.72,864.74,296.91,320.18,316.91,1278.15,41.880001068115234,278.87
2014-08-21,338.21,378.56,244.99,35.25419616699219,95.95906829833984,428.99,532.65,91.38993072509766,104.25990295410156,86.5116958618164,122.87999725341797,1824.48,869.21,297.15,320.13,316.96,1288.9,42.10459899902344,279.01
2014-08-22,,,,35.26300048828125,95.95906829833984,,,91.52853393554688,104.1743392944336,86.62025451660156,123.19000244140625,,,,,,,42.09000015258789,
2014-08-24,338.32,378.69,244.88,,,429.15,533.11,,,,,1823.89,863.54,297.16,320.12,316.91,1280.41,,279.07
2014-08-25,339.6,380.2,245.33,35.298160552978516,95.95036315917969,431.12,536.57,91.85195922851562,104.12296295166016,86.75759887695312,122.73999786376953,1844.38,866.73,297.77,320.71,317.39,1293.11,41.996498107910156,279.26
2014-08-26,340.35,380.78,245.27,35.31574249267578,95.94168853759766,431.89,538.65,91.9443588256836,104.1999282836914,86.81550598144531,123.3499984741211,1872.77,878.86,298.55,320.65,318.32,1317.86,42.19049835205078,279.25
2014-08-27,340.68,381.0,245.21,35.306949615478516,95.94168853759766,432.16,539.25,91.96283721923828,104.29410552978516,86.96017456054688,123.31999969482422,1915.72,893.42,299.17,320.61,319.05,1349.59,42.14419937133789,279.32
2014-08-28,341.21,381.74,245.53,35.25419616699219,95.94168853759766,433.12,541.17,91.8612060546875,104.39680480957031,87.148193359375,124.0,1896.35,891.93,299.56,320.71,319.54,1338.0,42.23400115966797,279.46
2014-08-29,,,,35.412445068359375,95.95036315917969,,,92.20310974121094,104.46527862548828,87.21327209472656,123.86000061035156,,,,,,,42.62289810180664,
2014-08-31,341.8,382.58,245.59,,,434.16,543.09,,,,,1888.73,899.89,299.88,320.93,319.86,1333.57,,279.79
2014-09-01,341.16,382.49,245.55,,,434.03,542.92,,,,,1900.49,907.24,299.86,320.9,319.96,1336.41,,279.82
2014-09-02,340.09,381.97,245.49,35.42123794555664,95.95036315917969,433.33,541.32,92.4710693359375,104.13116455078125,86.79840850830078,121.6500015258789,1914.73,909.85,299.72,320.94,319.47,1344.1,42.150001525878906,279.81
2014-09-03,340.07,381.87,245.38,35.22781753540039,95.95036315917969,433.2,540.89,91.92588806152344,104.1996841430664,86.91448211669922,122.1500015258789,1959.32,919.49,299.46,320.95,318.91,1370.87,42.57279968261719,279.81
2014-09-04,340.48,382.57,245.34,35.21023941040039,95.94168853759766,434.13,542.91,91.84272766113281,104.06266784667969,86.29792785644531,121.4800033569336,1955.05,917.22,299.57,321.04,319.03,1371.73,42.186500549316406,279.83
2014-09-05,,,,35.42123794555664,95.94168853759766,,,92.30474853515625,104.1482925415039,86.31244659423828,122.05999755859375,,,,,,,41.832000732421875,
2014-09-07,340.33,382.55,245.29,,,434.1,542.59,,,,,1958.63,925.02,299.56,321.09,319.2,1376.98,,279.87
2014-09-08,340.61,382.62,245.34,35.4739875793457,95.94168853759766,434.17,542.64,92.4803466796875,104.0112533569336,86.16738891601562,120.7300033569336,1956.27,923.23,299.58,321.08,319.11,1374.09,42.150001525878906,279.92
2014-09-09,340.0,381.86,245.33,35.21903610229492,95.94168853759766,433.14,540.24,91.71334075927734,103.8399658203125,85.93529510498047,120.87000274658203,1935.83,917.67,299.21,321.01,318.47,1352.04,41.39759826660156,279.95
2014-09-10,338.96,380.95,245.35,35.43002700805664,95.94168853759766,431.94,537.56,92.4710693359375,103.74568939208984,85.79747772216797,120.26000213623047,1940.17,911.84,298.86,320.82,318.1,1356.69,40.911598205566406,279.9
2014-09-11,339.38,381.23,245.37,35.509151458740234,95.94168853759766,432.31,538.34,92.39714813232422,103.72000885009766,85.73216247558594,119.47000122070312,1943.79,913.74,299.18,320.91,318.39,1359.31,41.29600143432617,279.93
2014-09-12,,,,35.35969161987305,95.94168853759766,,,91.92588806152344,103.5915298461914,85.31874084472656,118.37999725341797,,,,,,,40.90999984741211,
2014-09-14,338.43,380.55,245.32,,,431.41,536.46,,,,,1934.37,907.0,298.69,320.83,317.77,1345.83,,279.87
